"","Id mecz","Data meczu","Gospodarz","Goście","Piłkarz","Drużyna piłkarza","Pozycja","Podania","Podania celne","Procent celnych podań (%)","Podania pod presją","Celne podania pod presja","Procent celnych podań pod presją (%)","Podania pod presją na własnej połowie","Celne podania pod presją na własnej połowie","Procent celnych podań pod presją na własnej połowie (%)","Procent podan pod presją do wszystkich podań","Procent udnaych podań pod presja do udanych podań (%)","Podania do przodu","Podania do przodu pod presja","Podania w strefę F3 z gry","Podania w pole karne z gry","Drybingi","Dryblingi udane","Dryblingi pod presja","Dyblingi udane pod presja","Dryblingi na własnej polowie","Dryblingi na połowie przeciwnika","Dosrodkowania w pole karne","Celne dosrodkowania w pole karne","Procent udnaych dosrodkowań w pole karne (%)","Dosrodkowania w pole karne z gry","Celne dosrodkowania w pole karne z gry","Procent udanych dośrodkowań w pole karne z gry (%)","Podjedynki w obronie","Bycie przedryblowanym","Straty piłki","Straty piłki na własnej połowie","Faule","Faule na własnej połowie","Faule na połowie przeciwnika","Bycie sfaulowanym","Bycie sfaulowanym na własnej połowie","Bycie sfaulowanym na połowie przeciwnika","Pressing","Pressing na własnej połowie","Pressing na połowie przeciwnika","Odbiory piłki","Odbiory piłki na własnej połowie","Obriory piłki na polowie przeciwnika","Przechwyty piłki","Przechwyty piłki na wlasnej polowie","Przechwyty piłki na polowie przeciwnika","Strzały","Strzały celne"
"1",22912,"2019-06-01","Tottenham Hotspur","Liverpool","Trent Alexander-Arnold","Liverpool","Right Back",47,17,36.17,3,1,33.33,1,0,0,6.38,5.88,30,2,4,1,0,0,0,0,0,0,0,0,NA,0,0,NA,3,2,0,0,1,1,0,0,0,0,18,14,4,5,4,1,0,0,0,1,0
"2",22912,"2019-06-01","Tottenham Hotspur","Liverpool","Andrew Robertson","Liverpool","Left Back",54,34,62.96,3,3,100,3,3,100,5.56,8.82,34,1,5,3,0,0,0,0,0,0,3,0,0,2,0,0,2,0,1,0,1,0,1,0,0,0,12,10,2,2,2,0,2,2,0,1,1
